XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
-483.3712;311.4684;905.5278;-446.3108;398.5819;1128.0982;-393.9568;397.8929;1455.7291
-483.3313;311.5633;905.5960;-446.2248;398.6077;1128.0982;-393.8612;397.8929;1455.7773
-483.2897;311.6752;905.6355;-446.1213;398.6135;1128.0982;-393.8084;398.2011;1455.8189
-483.2502;311.7877;905.6798;-446.0605;398.6755;1128.1182;-393.7036;398.3409;1455.8482
-483.2153;311.8954;905.7236;-445.9982;398.6843;1128.1182;-393.5894;398.4532;1455.8801
-483.2124;312.0074;905.7296;-445.9247;398.7989;1128.1203;-393.4827;398.5417;1455.9248
-483.1976;312.1076;905.7664;-445.8597;399.0039;1128.2229;-393.3709;398.5547;1455.9991
-483.1968;312.2169;905.7754;-445.7790;399.0194;1128.2250;-393.2992;398.7665;1456.0518
-483.1669;312.3207;905.7954;-445.6580;399.0386;1128.2387;-393.2743;399.0465;1456.1424
-483.1576;312.4230;905.8193;-445.5818;399.2879;1128.3738;-393.1162;399.0499;1456.1876
-483.0544;312.5027;905.9641;-445.5073;399.5209;1128.5061;-392.9816;399.0670;1456.2577
-482.9918;312.5954;906.0716;-445.3882;399.5367;1128.5505;-392.9532;399.3078;1456.3596
-482.9430;312.6886;906.1622;-445.2810;399.5435;1128.5530;-392.8862;399.5607;1456.4205
-482.8978;312.7781;906.2403;-445.2069;399.5548;1128.5614;-392.7961;399.6071;1456.4837
-482.8647;312.8765;906.2835;-445.1569;399.7321;1128.6249;-392.6211;399.6360;1456.5011
-482.8182;312.9661;906.3412;-445.1139;400.0134;1128.7600;-392.3739;399.7151;1456.5041
-482.7734;313.0597;906.4147;-445.0608;400.1426;1128.8481;-392.1769;399.7151;1456.5147
-482.7277;313.1590;906.4748;-444.9644;400.1603;1128.8840;-392.0685;399.8460;1456.5469
-482.7140;313.2551;906.5068;-444.8682;400.1836;1128.9168;-391.9275;400.0043;1456.5603
