XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
19.6913;189.5875;913.0530;6.9146;282.7693;1150.2050;-26.7964;317.1065;1470.7414
20.2496;189.3392;913.2285;7.1171;282.7053;1150.3328;-26.8464;317.0125;1470.8067
20.8288;189.0822;913.4382;7.3072;282.6464;1150.4486;-26.8527;316.9616;1470.8937
21.4676;188.8076;913.6765;7.5085;282.5655;1150.5694;-26.8619;316.9411;1470.9786
22.0742;188.4847;913.9753;7.7150;282.4750;1150.6857;-26.8898;316.9397;1471.0582
22.7579;188.1319;914.2843;7.9548;282.3697;1150.8242;-26.9748;316.9374;1471.1315
23.5199;187.7509;914.5833;8.2082;282.2578;1150.9576;-27.0671;316.9374;1471.2277
24.3164;187.3461;914.9287;8.5045;282.0730;1151.0910;-27.2833;316.8615;1471.3002
25.2060;186.8467;915.2660;8.7979;281.8902;1151.2097;-27.5470;316.7363;1471.3663
26.1136;186.2831;915.6970;9.1008;281.7110;1151.3273;-27.8757;316.5872;1471.4238
27.0973;185.6741;916.1349;9.4099;281.5473;1151.4535;-28.2678;316.4055;1471.4748
28.1575;184.9768;916.6143;9.7480;281.3696;1151.5923;-28.6942;316.1644;1471.5625
29.2760;184.2045;917.2374;10.1530;281.1553;1151.7517;-29.2328;315.8595;1471.6278
30.5360;183.3296;917.8843;10.6224;280.9262;1151.9367;-29.8348;315.5568;1471.6822
31.9279;182.3034;918.6635;11.1393;280.6873;1152.1388;-30.4507;315.2574;1471.7364
33.5466;181.0479;919.5180;11.6928;280.4251;1152.3372;-30.9826;314.9758;1471.8119
35.3567;179.6187;920.4784;12.2789;280.1577;1152.5240;-31.5073;314.7697;1471.8458
37.4139;177.9257;921.5895;12.9774;279.8648;1152.7491;-32.0642;314.5478;1471.8562
39.6909;175.9772;922.7960;13.7579;279.5570;1152.9137;-32.6245;314.2754;1471.8562
42.2213;173.8298;924.1276;14.5484;279.2540;1152.9949;-33.0823;314.0320;1471.8562
44.9846;171.4362;925.6281;15.5266;278.8748;1152.9982;-33.6326;313.7163;1471.8292
