15 NaN-values in right hand
-56.5193;-57.4573;25.6194;20.3577;49.2045;316.1329;-48.4491;93.0246;582.3431
-57.7265;-57.3973;29.4099;21.5812;49.4467;319.4864;-47.5703;91.7465;583.5280
-58.8747;-57.2777;33.6550;24.6790;48.0218;322.5893;-47.4407;91.5389;584.0283
-59.9485;-57.1257;38.2685;27.3628;47.2919;325.8773;-47.5699;90.9299;585.3214
-60.9557;-56.8106;43.4601;30.2473;46.5812;329.2267;-47.7236;90.4846;586.6813
-61.7689;-56.4068;49.0755;33.3480;45.8306;332.5868;-48.0747;90.3048;587.9901
-62.5271;-55.7600;55.0928;36.5012;45.1835;335.9874;-48.2790;89.9644;589.6375
-62.8187;-54.6293;61.4015;39.7864;44.6522;339.4104;-48.4998;89.6562;591.3799
-63.0199;-53.2853;68.3267;43.2942;44.1634;342.8548;-48.7189;89.3432;592.8365
-63.0287;-52.1303;76.0637;46.9225;43.8210;346.3131;-48.9007;88.8627;594.1154
-62.9259;-50.9871;84.3903;50.6945;43.6946;349.8079;-49.0744;88.9430;594.9517
-62.5640;-50.0671;93.3920;54.6717;43.7017;353.2833;-49.2175;88.4591;596.2628
-62.1045;-49.1015;102.8853;58.7822;44.0172;356.8843;-49.4193;88.2421;597.8133
-61.4392;-48.1436;112.9308;63.0421;44.0603;360.3540;-49.6015;88.6090;599.3532
-60.6517;-47.3434;123.4317;67.4192;44.4864;363.8811;-49.5552;88.9144;600.8918
-59.6062;-46.5412;134.5199;71.7185;44.8852;367.0936;-49.6608;89.4723;602.2591
-58.3693;-45.8186;145.9111;75.2510;45.5258;370.2063;-49.7902;90.2524;603.3987
-56.9640;-45.1943;157.7501;80.2612;46.1908;373.3466;-49.5965;90.9787;604.3993
-55.5226;-44.8494;169.5727;85.0347;47.1019;376.3501;-49.3912;91.9141;604.8603
-53.6175;-44.4467;182.2816;90.3395;48.0573;379.1538;-49.0814;92.8279;605.3216
-51.6765;-44.2826;194.8670;94.8633;49.4676;381.9634;-48.8304;93.5663;605.6392
-49.7726;-44.0248;207.6755;99.6550;50.8798;384.7297;-48.4625;94.6641;605.2625
-46.8061;-45.0874;220.1475;104.2957;52.4366;387.3962;-48.1782;95.7732;604.8392
-44.0406;-45.7286;233.0283;108.3571;54.1104;389.8739;-48.1203;97.1658;604.3008
-41.2695;-46.0392;246.2036;112.9786;55.9887;392.2852;-47.9633;98.5107;603.5229
-38.5753;-46.4259;259.0769;117.0748;57.9731;394.5550;-48.0185;99.9599;602.9834
-35.1425;-47.0380;272.1799;120.7156;60.1730;396.6139;-48.0877;101.3878;602.5555
-31.7263;-47.8645;284.9997;123.9569;62.5681;398.3394;-48.3775;102.9342;602.2093
-28.4696;-48.2694;297.4562;126.6941;64.9278;399.7423;-48.7901;104.5744;602.1219
-24.7739;-48.8193;310.1349;129.7147;67.4885;401.2078;-49.0655;106.1341;601.8264
-21.2817;-48.9147;322.4142;132.6200;70.4511;402.5654;-49.2666;107.6833;601.2457
-17.2451;-49.5974;334.3918;135.4852;73.5463;403.9126;-49.5893;109.5131;600.5123
-12.9152;-50.4972;346.7059;138.3179;76.7708;405.2272;-49.8989;111.3411;599.8483
-8.6111;-51.3842;358.2698;141.1136;80.2366;406.4851;-50.1152;113.1603;599.2417
-4.0048;-52.3346;369.2758;144.0698;83.7761;407.7698;-50.3085;114.3964;599.8045
0.8679;-53.2694;379.9374;146.5644;87.6760;409.3243;-50.4837;115.7773;600.1482
5.5967;-54.1695;390.2848;149.3263;91.5209;410.6403;-45.3279;117.9427;600.8978
10.3398;-55.1545;400.0419;152.0623;95.4262;411.8019;-45.0257;119.2967;601.5657
15.0783;-56.0718;409.5271;154.6342;99.3393;412.7070;-45.1688;120.7886;602.2540
19.8074;-56.8253;418.3046;157.3704;103.3016;413.5856;-45.2146;122.6308;602.3086
24.3841;-57.5356;426.6257;160.0456;107.2761;414.3152;-45.1863;124.5081;602.5506
