RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
-117.2551;-253.4372;446.8547;-97.9136;-59.0682;347.6126
-117.2551;-254.8327;448.3529;-98.5693;-59.9501;350.1227
-117.2551;-256.3038;449.9080;-99.2503;-60.6828;352.7751
-116.9183;-257.8687;451.4232;-99.7090;-61.8006;355.0737
-116.3597;-259.5146;452.9035;-100.0438;-62.8933;357.5663
-115.6768;-261.3142;454.4601;-100.2773;-64.0674;359.9755
-114.7664;-263.0306;455.8915;-100.2773;-65.3068;362.3127
-113.7162;-264.8136;457.3803;-100.2773;-66.5850;364.7045
-112.5605;-266.6422;458.8014;-100.1170;-67.9881;367.0326
-111.3209;-268.4893;460.2541;-99.8034;-69.5157;369.2590
-109.9975;-270.4382;461.7767;-99.3805;-71.0626;371.4703
-108.6251;-272.3962;463.3133;-98.7580;-72.6972;373.6335
-107.2303;-274.4303;464.8921;-98.0281;-74.4826;375.6669
-105.8095;-276.5060;466.4107;-97.2469;-76.1434;377.8377
-104.3476;-278.5672;467.9185;-96.3006;-77.9037;379.8003
-102.8528;-280.5856;469.3674;-95.2480;-79.7288;381.7608
-101.3992;-282.7848;470.8507;-94.0888;-81.6117;383.6366
-99.8589;-284.8949;472.3084;-92.9177;-83.4321;385.5296
-98.2606;-287.0488;473.6683;-91.7017;-85.2860;387.4706
-96.6048;-289.2105;475.0577;-90.4013;-87.2403;389.1768
-94.8634;-291.3463;476.3587;-89.0477;-89.1390;390.8833
-93.0429;-293.4723;477.6002;-87.6931;-91.0507;392.5048
-91.1803;-295.5866;478.7967;-86.3346;-92.8533;394.2462
-89.3002;-297.6719;479.9251;-84.8231;-94.8419;395.6577
-87.4233;-299.7395;480.9781;-83.3451;-96.6763;397.2049
-85.6263;-301.8921;481.9320;-81.8523;-98.5436;398.7065
-83.8399;-303.9739;482.8364;-80.2818;-100.3829;400.0934
-82.1089;-306.0474;483.6445;-78.7706;-102.2204;401.5619
-80.3739;-308.1271;484.3608;-77.2443;-103.9745;402.9187
-78.6131;-310.1832;484.9533;-75.7364;-105.7667;404.2006
-76.7442;-312.1423;485.5959;-74.3015;-107.4387;405.3591
-74.7671;-313.9491;486.1516;-72.8982;-109.1323;406.4148
-72.7138;-315.6168;486.8361;-71.6076;-110.6516;407.3860
-70.6694;-317.3411;487.2934;-70.5087;-111.9915;408.4446
-68.5999;-319.0590;487.2934;-69.4585;-113.3521;409.2359
-66.8672;-320.3500;487.2934;-68.5788;-114.6006;410.0106
-65.8535;-321.7168;487.0300;-67.8502;-115.6664;410.7472
-65.3023;-322.7869;486.8464;-67.1394;-116.7294;410.7472
-65.0139;-323.4890;486.8464;-66.6642;-117.3209;410.7472
-64.9246;-323.4890;486.8464;-66.4595;-118.6869;408.5192
367.3075;-145.6131;-789.9761;367.3075;-145.6131;-789.9761
